#regionID	maxMismatching	starshipElements	starshipFamilies	refsWithValidatedSites	emptyRegions	emptyInsertionSites	fragmentedRegions	fragmentedInsertionSites	omesWithElement	omesWithEmpty	omesWithFrag
region0057	14	2	2	2	0	0	35	11	2	0	35
region0058	16	2	1	1	8	5	23	3	2	8	23
region0059	14	2	1	1	12	1	14	0	2	12	14
region0060	7	2	1	1	9	5	16	8	2	9	16
region0061	4	2	1	1	0	0	23	8	2	0	23
region0062	19	2	2	2	0	0	22	10	2	0	22
region0063	5	2	1	1	0	0	20	2	2	0	20
region0064	8	2	1	1	20	10	0	0	2	20	0
region0065	12	2	1	1	16	2	3	1	2	16	3
region0066	10	2	1	0	16	0	0	0	2	16	0
region0067	10	2	1	1	0	0	16	6	2	0	16
region0068	7	2	1	1	8	1	3	1	2	8	3
region0069	4	2	2	2	5	0	5	1	1	5	5
region0070	7	2	1	1	1	0	9	4	2	1	9
region0071	6	2	2	2	6	4	3	0	1	6	3
region0072	5	2	1	0	7	0	2	0	2	7	2
region0073	16	2	2	2	1	1	6	2	2	1	6
region0074	7	2	1	0	2	0	5	0	2	2	5
region0075	9	2	1	1	0	0	7	2	2	0	7
region0077	5	2	1	1	4	1	3	0	2	4	3
region0078	3	2	2	2	2	0	4	1	1	2	4
region0079	8	2	1	1	4	0	2	1	2	4	2
region0080	7	2	1	0	5	0	1	0	2	5	1
region0081	6	1	1	0	5	0	1	0	1	5	1
region0082	9	2	1	1	5	2	0	0	2	5	0
region0083	6	2	1	1	0	0	5	4	2	0	5
region0084	3	2	1	0	0	0	5	0	1	0	5
region0085	8	2	1	1	0	0	4	2	2	0	4
region0086	9	2	2	1	2	1	2	2	1	2	2
region0087	6	2	2	2	3	1	0	0	2	3	0
region0088	5	2	1	1	0	0	3	2	2	0	3
region0089	5	2	2	2	2	1	1	1	1	2	1
region0090	3	2	1	1	1	1	2	0	2	1	2
region0091	3	2	2	2	0	0	3	1	1	0	3
region0092	6	2	1	0	2	0	0	0	2	2	0
region0093	1	2	1	1	0	0	2	2	2	0	2
region0094	3	2	1	1	0	0	2	1	1	0	2
region0095	4	2	1	1	1	1	0	0	2	1	0
region0096	6	2	1	1	0	0	1	1	2	0	1
region0097	4	2	1	1	0	0	1	1	2	0	1
region0098	4	2	2	1	0	0	1	1	1	0	1
region0099	1	2	1	0	0	0	0	0	2	0	0
region0100	1	2	1	0	0	0	0	0	2	0	0
region0101	0	2	1	0	0	0	0	0	2	0	0
region0102	0	2	1	0	0	0	0	0	2	0	0
region0103	0	2	1	0	0	0	0	0	2	0	0
region0104	1	2	1	0	0	0	0	0	2	0	0
region0105	2	2	1	0	0	0	0	0	2	0	0
region0106	12	1	1	1	17	2	86	9	1	17	86
region0107	12	1	1	1	72	5	15	0	1	72	15
region0108	8	1	1	1	76	1	5	0	1	76	5
region0109	11	1	1	1	59	27	15	0	1	59	15
region0110	9	1	1	1	69	25	0	0	1	69	0
region0111	14	1	1	1	0	0	64	3	1	0	64
region0112	10	1	1	1	0	0	58	4	1	0	58
region0113	12	1	1	1	6	1	40	4	1	6	40
region0114	8	1	1	1	0	0	45	8	1	0	45
region0115	7	1	1	1	0	0	35	2	1	0	35
region0116	9	1	1	1	0	0	32	18	1	0	32
region0117	7	1	1	0	0	0	32	0	1	0	32
region0118	10	1	1	1	16	1	14	2	1	16	14
region0119	15	1	1	1	13	0	16	1	1	13	16
