ambphi1	Ambrosiozyma	philentoma	NRRLY7523	0.0		Ambph1	20210414	jgi	Krassowski T et al.,2018	ambphi1.fa		saccharomyceta	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes		Saccharomycetales						starfish	mycodb	tyr															
amnlig1	Amniculicola	lignicola	CBS123094	v1.0		Amnli1	20210414	jgi	Haridas S et al.,2020	amnlig1.fa	/home/adrian/Systematics/Starship_Database/starbase/SQL/data/faa/captain/tyr/mycodb/YRsuperfamRefs.part_amnlig1_424037.faa	dothideomyceta	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporomycetidae	Pleosporales	Amniculicolaceae					starfish	mycodb	tyr														YRsuperfamRefs.part_amnlig1_424037.faa	e6af42b31dd4d37498bed044d9b41bd0
amores1	Amorphotheca	resinae	ATCC22711	2018-03-28 00:00:00	SAMN00788613	amores1	20210421	ncbi	2018/03/27	amores1.fa		sordariomyceta	Fungi	Ascomycota	Pezizomycotina	Leotiomycetes			Myxotrichaceae					starfish	mycodb	tyr															
ampqui1	Ampelomyces	quisqualis	HMLAC05119	v1.0		Ampqui1	20210414	jgi	Haridas S et al.,2020	ampqui1.fa		dothideomyceta	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporomycetidae	Pleosporales	Leptosphaeriaceae		Pleosporineae			starfish	mycodb	tyr															
ampsp.1	Amphiamblys	sp.	WSBS2006	0.0		AmpWSBS2006_1	20210414	jgi	Mikhailov KV et al.,2017	ampsp.1.fa		Opisthokonta	Fungi	Microsporidia					Amphiacanthidae					starfish	mycodb	tyr															
ampsp.2	Amphinema	sp.	HHB7628Sp	0.0		ampscu1	20210707	slot	1	ampsp.2.fa		Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricomycetidae	Atheliales	Atheliaceae					starfish	mycodb	tyr															
ampsp.3	Amphinema	sp.	HHB15864Sp	0.0		ampsp.1	20210707	slot	1	ampsp.3.fa		Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricomycetidae	Atheliales	Atheliaceae					starfish	mycodb	tyr															
amycha1	Amylostereum	chailletii	DWAch2	v1.0		Amycha1	20210414	jgi	Looney B et al.,2021	amycha1.fa		Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes		Russulales	Stereaceae					starfish	mycodb	tyr															
amyenc1	Amylocarpus	encephaloides	TRa018bII	v1.0		Amyenc1	20210414	jgi	Hagestad OC et al.,2021	amyenc1.fa		sordariomyceta	Fungi	Ascomycota	Pezizomycotina	Leotiomycetes		Helotiales						starfish	mycodb	tyr															
amylap1	Amylocystis	lapponica	SKaAmylap13	v1.0		Amylap1_1	20210414	jgi	Hage H et al.,2021	amylap1.fa		Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes		Polyporales	Dacryobolaceae					starfish	mycodb	tyr															
anarob1	Anaeromyces	robustus		v1.0		Anasp1	20210414	jgi	Haitjema CH et al.,2017~Mondo SJ et al.,2017	anarob1.fa		Opisthokonta	Fungi	Chytridiomycota		Neocallimastigomycetes		Neocallimastigales	Neocallimastigaceae					starfish	mycodb	tyr															
annalg1	Anncaliia	algerae	PRA339	20140506	SAMN01907312	SAMN01907312	20210414	ncbi	2013/04/30	annalg1.fa		Opisthokonta	Fungi	Microsporidia					Tubulinosematidae			Tubulinosematoidea		starfish	mycodb	tyr															
annalg2	Anncaliia	algerae	PRA109	20140506	SAMN01907311	SAMN01907311	20210414	ncbi	2013/04/30	annalg2.fa		Opisthokonta	Fungi	Microsporidia					Tubulinosematidae			Tubulinosematoidea		starfish	mycodb	tyr															
annbov1	Annulohypoxylon	bovei	varmicrosporaCBS124037	v1.0		Annbov1	20210414	jgi	Franco MEE et al.,2021	annbov1.fa		sordariomyceta	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Xylariomycetidae	Xylariales	Hypoxylaceae					starfish	mycodb	tyr															
