Executing command: /home/emile/scripts/glofish//bin/format-ncbi -r aspergillus_ncbi_notMycodb.txt -a aspergillus_assembly_paths.txt -c ../20211215.pub.genome_codes.txt
aspasp10	GCA_019721355.1	Aspergillus sp. MEXU 27854
aspasp11	GCA_019775315.1	Aspergillus sp. JS3-R5
asptub4	GCA_019805365.1	Aspergillus tubingensis
asptub5	GCA_019827425.1	Aspergillus tubingensis
asptub6	GCA_019827445.1	Aspergillus tubingensis
asptub7	GCA_019827465.1	Aspergillus tubingensis
asptub8	GCA_019827565.1	Aspergillus tubingensis
asptub9	GCA_019828785.1	Aspergillus tubingensis
aspcro1	GCA_019828945.1	Aspergillus croceus
aspnig16	GCA_019843515.1	Aspergillus niger
aspfla14	GCA_019880445.1	Aspergillus flavus
aspasp12	GCA_019976455.1	Aspergillus sp. 'subgen. Cremei'
aspwes2	GCA_019976475.1	Aspergillus westerdijkiae
aspver2	GCA_020284045.1	Aspergillus versicolor
aspbru3	GCA_020284055.1	Aspergillus brunneus
aspbru4	GCA_020284075.1	Aspergillus brunneus
aspcri4	GCA_020465965.1	Aspergillus cristatus
aspcri5	GCA_020466005.1	Aspergillus cristatus
aspfum19	GCA_020500845.1	Aspergillus fumigatus
aspasp13	GCA_020615375.1	Aspergillus sp. ADI1
aspmon1	GCA_020826735.1	Aspergillus montevidensis
aspcre1	GCA_021436935.1	Aspergillus creber
asppro1	GCA_021436995.1	Aspergillus protuberus
aspjen1	GCA_021437015.1	Aspergillus jensenii
asptub10	GCA_900163765.1	Aspergillus tubingensis
