asclen1	Ascochyta lentis
ascnig1	Ascodesmis nigricans
ascrab1	Ascochyta rabiei
ascrub1	Ascoidea rubescens
ascrub2	Ascoidea rubescens
ascsar1	Ascocoryne sarcoides
aspacu1	Aspergillus aculeatinus
aspacu2	Aspergillus aculeatus
aspacu3	Aspergillus aculeatinus
aspacu4	Aspergillus aculeatinus
aspaff1	Aspergillus aff.floccosus
aspalb1	Aspergillus albertensis
aspall1	Aspergillus alliaceus
aspall2	Aspergillus alliaceus
aspall3	Aspergillus alliaceus
aspamo1	Aspergillus amoenus
aspara1	Aspergillus arachidicola
aspara2	Aspergillus arachidicola
aspara3	Aspergillus arachidicola
aspasp1	Aspergillus sp.
aspasp10	Aspergillus sp.
aspasp11	Aspergillus sp.
aspasp12	Aspergillus sp.
aspasp13	Aspergillus sp.
aspasp2	Aspergillus sp.
aspasp3	Aspergillus sp.
aspasp4	Aspergillus sp.
aspasp5	Aspergillus sp.
aspasp6	Aspergillus sp.
aspasp7	Aspergillus sp.
aspasp8	Aspergillus sp.
aspasp9	Aspergillus sp.
aspave1	Aspergillus avenaceus
aspave2	Aspergillus avenaceus
aspawa1	Aspergillus awamori
aspawa2	Aspergillus awamori
aspber1	Aspergillus bertholletius
aspber2	Aspergillus bertholletiae
aspbom1	Aspergillus bombycis
aspbom2	Aspergillus bombycis
aspbra1	Aspergillus brasiliensis
aspbru1	Aspergillus brunneoviolaceus
aspbru2	Aspergillus brunneoviolaceus
aspbru3	Aspergillus brunneus
aspbru4	Aspergillus brunneus
aspbur1	Aspergillus burnettii
aspcae1	Aspergillus caelatus
aspcae2	Aspergillus caelatus
aspcal2	Aspergillus calidoustus
aspcal3	Aspergillus calidoustus
aspcam1	Aspergillus campestris
aspcam2	Aspergillus campestris
aspcan2	Aspergillus candidus
aspcan3	Aspergillus candidus
aspcar1	Aspergillus carbonarius
aspcej1	Aspergillus cejpii
aspche1	Aspergillus chevalieri
aspche2	Aspergillus chevalieri
aspcla2	Aspergillus clavatus
aspcla3	Aspergillus clavatus
aspcor2	Aspergillus coremiiformis
aspcor3	Aspergillus coremiiformis
aspcos2	Aspergillus costaricaensis
aspcos3	Aspergillus costaricaensis
aspcre1	Aspergillus creber
aspcri1	Aspergillus cristatus
aspcri2	Aspergillus cristatus
aspcri3	Aspergillus cristatus
aspcri4	Aspergillus cristatus
aspcri5	Aspergillus cristatus
aspcro1	Aspergillus croceus
aspele1	Aspergillus elegans
aspell1	Aspergillus ellipticus
aspell2	Aspergillus ellipticus
aspeuc1	Aspergillus eucalypticola
aspeuc2	Aspergillus eucalypticola
aspfel1	Aspergillus felis
aspfel2	Aspergillus felis
aspfij1	Aspergillus fijiensis
aspfij2	Aspergillus fijiensis
aspfis1	Aspergillus fischeri
aspfis2	Aspergillus fischeri
aspfis3	Aspergillus fischeri
aspfis4	Aspergillus fischeri
aspfis5	Aspergillus fischeri
aspfla10	Aspergillus flavus
aspfla11	Aspergillus flavus
aspfla12	Aspergillus flavus
aspfla13	Aspergillus flavus
aspfla14	Aspergillus flavus
aspfla4	Aspergillus flavus
aspfla5	Aspergillus flavus
aspfla6	Aspergillus flavus
aspfla7	Aspergillus flavus
aspfla8	Aspergillus flavus
aspfla9	Aspergillus flavus
aspflo1	Aspergillus floridensis
aspfum10	Aspergillus fumigatus
aspfum11	Aspergillus fumigatiaffinis
aspfum12	Aspergillus fumigatiaffinis
aspfum13	Aspergillus fumigatiaffinis
aspfum14	Aspergillus fumigatiaffinis
aspfum15	Aspergillus fumigatus
aspfum16	Aspergillus fumigatus
aspfum17	Aspergillus fumigatus
aspfum18	Aspergillus fumigatus
aspfum19	Aspergillus fumigatus
aspfum3	Aspergillus fumigatus
aspfum4	Aspergillus fumigatus
aspfum5	Aspergillus fumigatus
aspfum6	Aspergillus fumigatus
aspfum7	Aspergillus fumigatus
aspfum8	Aspergillus fumigatus
aspfum9	Aspergillus fumigatus
aspgla1	Aspergillus glaucus
asphan1	Aspergillus hancockii
asphet2	Aspergillus heteromorphus
asphet3	Aspergillus heteromorphus
asphir1	Aspergillus hiratsukae
asphir2	Aspergillus hiratsukae
asphom1	Aspergillus homomorphus
asphom2	Aspergillus homomorphus
aspibe1	Aspergillus ibericus
aspibe2	Aspergillus ibericus
aspinc1	Aspergillus incahuasiensis
aspind2	Aspergillus indologenus
aspind3	Aspergillus indologenus
aspjap1	Aspergillus japonicus
aspjap2	Aspergillus japonicus
aspjap3	Aspergillus japonicus
aspjen1	Aspergillus jensenii
aspkaw1	Aspergillus kawachii
asplat1	Aspergillus latus
asplat2	Aspergillus latus
asplat3	Aspergillus latus
asplat4	Aspergillus latus
asplat5	Aspergillus latus
asplat6	Aspergillus latus
asplat7	Aspergillus latus
asplen1	Aspergillus lentulus
asplen10	Aspergillus lentulus
asplen2	Aspergillus lentulus
asplen3	Aspergillus lentulus
asplen4	Aspergillus lentulus
asplen5	Aspergillus lentulus
asplen6	Aspergillus lentulus
asplen7	Aspergillus lentulus
asplen8	Aspergillus lentulus
asplen9	Aspergillus lentulus
asplep1	Aspergillus leporis
asplep2	Aspergillus leporis
aspluc10	Aspergillus luchuensis
aspluc11	Aspergillus luchuensis
aspluc12	Aspergillus luchuensis
aspluc13	Aspergillus luchuensis
aspluc2	Aspergillus luchuensis
aspluc3	Aspergillus luchuensis
aspluc4	Aspergillus luchuensis
aspluc5	Aspergillus luchuensis
aspluc6	Aspergillus luchuensis
aspluc7	Aspergillus luchuensis
aspluc8	Aspergillus luchuensis
aspluc9	Aspergillus luchuensis
aspmel1	Aspergillus melleus
aspmin1	Aspergillus minisclerotigenes
aspmin2	Aspergillus minisclerotigenes
aspmon1	Aspergillus montevidensis
aspmul3	Aspergillus mulundensis
aspnan1	Aspergillus nanangensis
aspneo7	Aspergillus neoniger
aspneo8	Aspergillus neoellipticus
aspneo9	Aspergillus neoniger
aspnid1	Aspergillus nidulans
aspnid3	Aspergillus nidulans
aspnid4	Aspergillus nidulans
aspnig10	Aspergillus niger
aspnig11	Aspergillus niger
aspnig12	Aspergillus niger
aspnig13	Aspergillus niger
aspnig14	Aspergillus niger
aspnig15	Aspergillus niger
aspnig16	Aspergillus niger
aspnig2	Aspergillus niger
aspnig3	Aspergillus niger
aspnig4	Aspergillus niger
aspnig5	Aspergillus niger
aspnig6	Aspergillus niger
aspnig7	Aspergillus niger
aspnig8	Aspergillus niger
aspnig9	Aspergillus niger
aspnom1	Aspergillus nomius
aspnom2	Aspergillus nomius
aspnom3	Aspergillus nomiae
aspnom4	Aspergillus nomiae
aspnov1	Aspergillus novoparasiticus
aspnov2	Aspergillus novofumigatus
aspnov3	Aspergillus novofumigatus
aspnov4	Aspergillus novoparasiticus
aspoch1	Aspergillus ochraceoroseus
aspoch2	Aspergillus ochraceoroseus
aspoch3	Aspergillus ochraceoroseus
aspoch4	Aspergillus ochraceoroseus
aspoch5	Aspergillus ochraceus
aspoch6	Aspergillus ochraceus
aspoer1	Aspergillus oerlinghausenensis
aspoli1	Aspergillus olivimuriae
aspory1	Aspergillus oryzae
aspory10	Aspergillus oryzae
aspory11	Aspergillus oryzae
aspory12	Aspergillus oryzae
aspory2	Aspergillus oryzae
aspory3	Aspergillus oryzae
aspory4	Aspergillus oryzae
aspory5	Aspergillus oryzae
aspory6	Aspergillus oryzae
aspory7	Aspergillus oryzae
aspory8	Aspergillus oryzae
aspory9	Aspergillus oryzae
asppar1	Aspergillus parvisclerotigenus
asppar10	Aspergillus parasiticus
asppar11	Aspergillus parasiticus
asppar12	Aspergillus parasiticus
asppar13	Aspergillus parasiticus
asppar14	Aspergillus parasiticus
asppar4	Aspergillus parasiticus
asppar5	Aspergillus parasiticus
asppar6	Aspergillus parasiticus
asppar7	Aspergillus parasiticus
asppar8	Aspergillus parasiticus
asppar9	Aspergillus parasiticus
aspper1	Aspergillus persii
asppho1	Aspergillus phoenicis
asppip1	Aspergillus piperis
asppip2	Aspergillus piperis
asppro1	Aspergillus protuberus
asppse10	Aspergillus pseudonomiae
asppse11	Aspergillus pseudoterreus
asppse12	Aspergillus pseudoterreus
asppse13	Aspergillus pseudotamarii
asppse14	Aspergillus pseudocaelatus
